epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21056,0.91235,2.50342,3.09791,1.23908,0.00804,0.75,0.43531,0.38282,0.00792,0.5,0.43554,0.35319,0.58027,0.71794,2.99519,0.946,0.000360324,0.000360324,0.000360324
2,15.1191,0.83122,0.85091,1.7095,1.14701,1,0.37669,0.4968,0.42315,1,0.37669,0.49603,0.39719,0.68902,0.65282,2.05693,0.97004,0.000706546,0.000706546,0.000706546
3,21.9928,0.77314,0.76376,1.27929,1.07859,0.98384,0.4896,0.49635,0.41058,0.96092,0.46429,0.46167,0.25607,0.64078,1.56921,1.08643,1.04739,0.00102833,0.00102833,0.00102833
4,28.6907,0.72869,0.64635,1.10299,1.07376,0.97584,0.47478,0.49708,0.4515,0.97584,0.47478,0.49864,0.44319,0.55824,0.32279,0.99701,0.88886,0.00100101,0.00100101,0.00100101
5,35.5021,0.70776,0.60164,1.0163,1.06828,0.99637,0.49342,0.54553,0.46679,0.99637,0.49342,0.56045,0.439,0.51803,0.50187,0.77975,0.87487,0.000964348,0.000964348,0.000964348
6,42.302,0.65143,0.5846,0.93678,1.01478,0.99332,0.49837,0.61973,0.57075,0.99332,0.49837,0.65999,0.54401,0.44795,0.38057,0.67288,0.7998,0.000927685,0.000927685,0.000927685
7,49.1531,0.65992,0.55231,0.90155,1.03324,0.99371,0.49886,0.63657,0.52028,0.99371,0.49886,0.60865,0.47783,0.52705,0.42669,0.63201,0.86331,0.000891022,0.000891022,0.000891022
8,56.1138,0.6415,0.49717,0.81424,1.02615,0.88161,0.59591,0.65257,0.53453,0.88161,0.59591,0.65569,0.50221,0.50716,0.41094,0.55931,0.88701,0.000854359,0.000854359,0.000854359
9,62.8351,0.59381,0.50092,0.74079,0.99671,0.96631,0.625,0.69754,0.57256,0.96631,0.625,0.68647,0.55855,0.48195,0.32117,0.55563,0.85096,0.000817696,0.000817696,0.000817696
10,69.606,0.59319,0.4756,0.72164,1.01013,0.9217,0.66221,0.70486,0.60166,0.9217,0.66221,0.70212,0.57975,0.43518,0.31459,0.4777,0.82421,0.000781033,0.000781033,0.000781033
