epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1933,0.96919,2.6596,2.82104,1.26799,0.01308,0.99123,0.63963,0.54907,0.01318,0.66667,0.64178,0.49917,0.55982,0.9713,2.82315,0.90917,0.000405405,0.000405405,0.000405405
2,21.4781,0.80305,0.82693,1.44596,1.1174,0.94808,0.59281,0.65479,0.57166,0.94808,0.59281,0.6519,0.53118,0.57196,0.50748,1.53276,0.91039,0.000794944,0.000794944,0.000794944
3,30.7245,0.79082,0.71583,1.19724,1.09504,0.97644,0.62752,0.66085,0.5798,0.97644,0.62752,0.65843,0.50588,0.66228,0.58072,0.85421,0.91654,0.00115698,0.00115698,0.00115698
4,39.5504,0.75068,0.61773,1.06877,1.07269,0.96088,0.62332,0.6596,0.56973,0.97579,0.63903,0.66291,0.54841,0.63575,0.62061,0.78971,0.93146,0.00112625,0.00112625,0.00112625
5,48.6714,0.71027,0.57261,0.9703,1.06253,0.97641,0.63387,0.66695,0.57222,0.97641,0.63387,0.65958,0.54686,0.55448,0.25604,0.72043,0.88875,0.001085,0.001085,0.001085
6,57.745,0.68777,0.56438,0.89094,1.02795,0.98186,0.65079,0.65894,0.60825,0.98186,0.65079,0.65718,0.57816,0.4656,0.31285,0.6591,0.82806,0.00104375,0.00104375,0.00104375
7,66.8442,0.68988,0.54031,0.84256,1.04445,0.98754,0.66336,0.66423,0.60356,0.98754,0.66336,0.66316,0.56617,0.50675,0.29347,0.58897,0.85031,0.0010025,0.0010025,0.0010025
8,75.9032,0.64687,0.48313,0.76116,1.02497,0.98328,0.64798,0.66515,0.59947,0.98328,0.64798,0.66078,0.57527,0.46213,0.21066,0.58768,0.84676,0.00096125,0.00096125,0.00096125
9,84.6384,0.62653,0.4901,0.72374,1.00983,0.97959,0.65543,0.68467,0.5943,0.97959,0.65543,0.66256,0.59044,0.45496,0.19163,0.50155,0.80925,0.00092,0.00092,0.00092
10,93.6978,0.60248,0.44864,0.69728,1.00077,0.9947,0.66667,0.6707,0.60976,0.9947,0.66667,0.66333,0.57325,0.48146,0.21876,0.45889,0.83417,0.00087875,0.00087875,0.00087875
11,102.565,0.5699,0.44041,0.63589,0.97958,0.98061,0.66667,0.69348,0.64547,0.98061,0.66667,0.66333,0.59612,0.40062,0.17704,0.38785,0.77426,0.0008375,0.0008375,0.0008375
12,111.591,0.56468,0.45576,0.60374,0.98057,0.98914,0.66667,0.66699,0.63329,0.98914,0.66667,0.66274,0.5944,0.39899,0.19574,0.3961,0.77869,0.00079625,0.00079625,0.00079625
13,120.521,0.54787,0.43082,0.58642,0.97278,0.99644,0.66655,0.71071,0.63842,0.99644,0.66655,0.66333,0.59307,0.41467,0.17224,0.35854,0.78102,0.000755,0.000755,0.000755
