epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7739,0.27218,0.38812,0.31243,0.97872,0.98747,0.99213,0.99449,0.9873,0.98747,0.99213,0.99449,0.98032,0.16355,0.2904,0.26323,0.25045,0.000662366,0.000662366,0.000662366
2,77.9607,0.26754,0.37536,0.2131,0.96848,0.98062,0.99582,0.99408,0.97663,0.96748,0.99606,0.99389,0.97101,0.19184,0.34862,0.2674,0.28977,0.00126923,0.00126923,0.00126923
3,115.587,0.28362,0.40257,0.22471,0.97723,0.99861,0.99606,0.995,0.98691,0.99861,0.99606,0.995,0.9778,0.15263,0.30764,0.24306,0.25723,0.00181609,0.00181609,0.00181609
4,153.203,0.27789,0.39699,0.22206,0.97522,0.99092,0.98819,0.99445,0.97757,0.99092,0.98819,0.99445,0.96334,0.20282,0.37422,0.31307,0.29628,0.00173,0.00173,0.00173
5,190.823,0.27471,0.40065,0.21424,0.97367,0.98652,0.99213,0.99472,0.98375,0.98,0.99606,0.99405,0.973,0.19933,0.32385,0.35515,0.27843,0.00164,0.00164,0.00164
6,228.24,0.27519,0.4026,0.217,0.97216,0.98316,0.99213,0.99461,0.97641,0.992,0.97615,0.98582,0.96745,0.19517,0.34286,0.33019,0.30244,0.00155,0.00155,0.00155
7,265.816,0.27065,0.41371,0.2148,0.97189,0.99209,0.98819,0.99465,0.98543,0.99209,0.98819,0.99375,0.97626,0.14941,0.33425,0.29682,0.24078,0.00146,0.00146,0.00146
8,303.025,0.26074,0.38524,0.20898,0.97065,0.99546,0.99606,0.995,0.98831,0.99546,0.99606,0.995,0.96994,0.15673,0.38436,0.33389,0.24624,0.00137,0.00137,0.00137
9,355.246,0.26595,0.3786,0.20861,0.97036,0.99212,0.99112,0.99484,0.98691,0.99212,0.99112,0.99484,0.97756,0.16679,0.31629,0.54453,0.26522,0.00128,0.00128,0.00128
10,411.596,0.25529,0.3864,0.20302,0.96581,0.98798,0.99606,0.99461,0.98511,0.98017,0.98819,0.99361,0.98109,0.15712,0.29586,0.3764,0.25102,0.00119,0.00119,0.00119
11,505.32,0.10795,0.24612,0.12958,0.94641,0.9919,0.99606,0.995,0.99105,0.9919,0.99606,0.995,0.98006,0.16174,0.32456,0.33798,0.26943,0.0011,0.0011,0.0011
12,560.876,0.09434,0.24686,0.10006,0.94132,0.99604,0.99119,0.99488,0.98755,0.98812,0.98208,0.9945,0.97841,0.15353,0.3179,0.22447,0.25394,0.00101,0.00101,0.00101
13,609.582,0.09562,0.23343,0.096,0.9336,0.99177,0.99606,0.99492,0.98954,0.99177,0.99606,0.99492,0.98226,0.14395,0.30308,0.21822,0.2329,0.00092,0.00092,0.00092
14,646.369,0.09008,0.2149,0.09203,0.93011,1,0.99201,0.995,0.98818,0.99164,0.98425,0.99469,0.97985,0.17277,0.29857,0.59363,0.30589,0.00083,0.00083,0.00083
15,683.182,0.08961,0.21483,0.09215,0.93203,0.99214,0.99455,0.99496,0.9915,0.98644,0.99606,0.99476,0.9822,0.15293,0.27753,0.54884,0.24692,0.00074,0.00074,0.00074
16,720.573,0.0781,0.21143,0.08417,0.92966,0.98827,0.99532,0.9948,0.99098,0.98827,0.99532,0.9948,0.98415,0.16921,0.27122,0.74335,0.30281,0.00065,0.00065,0.00065
17,760.494,0.07431,0.2167,0.07886,0.92437,0.99103,0.99606,0.99492,0.99279,0.99103,0.99606,0.99492,0.98423,0.12814,0.27334,0.46676,0.20219,0.00056,0.00056,0.00056
18,799.518,0.07178,0.19374,0.07333,0.91877,0.99851,0.99606,0.995,0.99179,0.99851,0.99606,0.995,0.98447,0.1374,0.27161,0.71285,0.23388,0.00047,0.00047,0.00047
19,839.45,0.0694,0.19038,0.07178,0.92648,0.99925,0.99606,0.995,0.98872,0.99925,0.99606,0.995,0.98446,0.14101,0.31059,0.57329,0.23056,0.00038,0.00038,0.00038
20,878.674,0.06541,0.18167,0.06771,0.92027,0.99937,0.99606,0.995,0.99095,0.99937,0.99606,0.995,0.98539,0.12977,0.27326,0.3281,0.20421,0.00029,0.00029,0.00029
